Entity;Political.regime;Age.of.democracies.in.2015;human_right;economic.freedom;gender inequality;pct of bullied children;corruption;literacy rate;HDI;mean_schooling_for_adults;gscore
Malta;2;52;2,803173634;7,740315514;0,21699999;27,2;54;94,066612;0,878;11,3;8,21
Marshall Islands; ;24;2,064719691; ; ; ; ;98,265083;0,708;10,9;
Mauritania;1;0;-0,06432388;5,962612389;0,62699997;47;27;52,123562;0,52;4,5;3,82
Mauritius;2;48;0,958180399;7,995281457;0,38;36;51;90,616043;0,79;9,3;
Mexico;2;16;-1,423018386;6,895887517;0,345;29,1;28;94,545593;0,774;8,6;6,19
Micronesia (country); ;24;2,577860364; ; ; ; ; ;0,627;8;
Moldova;2;25;0,484552357;6,629613844;0,23199999;38,3;33;99,244392;0,7;11,6;
Monaco; ;22;4,289002957; ; ; ; ; ; ; ;
Mongolia;2;26;0,4774756;7,395856246;0,278;31;37;98,367638;0,741;10,1;6,5
Montenegro;1;10;1,557095013;7,050268253;0,156;25,9;45;98,719948;0,814;11,3;5,74
Morocco;0;0;0,335490756;6,339798901;0,49399999;1;43;71,710548;0,667;5,5;4,99
Mozambique;1;0;-0,087209576;5,479430172;0,574;47,5;23;58,836552;0,437;3,5;3,85
Myanmar;1;0;-2,467334008;5,41638899;0,37400001;19;29;93,09005;0,578;4,9;
Namibia;2;0;1,54286351;6,413544685;0,47400001;52;53;90,820503;0,647;6,8;6,25
Nauru; ;48;1,743830913; ; ; ; ; ; ; ;
Nepal;2;8;0,261589965;6,527727586;0,49700001;42,7;31;64,663643;0,574;4,9;5,18
Netherlands;3;119;3,410230213;7,697608946;0,044;21;82; ;0,931;12,2;8,89
New Caledonia; ; ; ; ; ; ; ;96,93782; ; ;
New Zealand;3;159;3,445404703;8,490329773;0,15800001;23,3;87; ;0,917;12,5;9,26
Nicaragua;1;32;0,113044035;7,277070764;0,46200001;25,7;25;82,471848;0,658;6,7;3,63
Niger;2;7;-0,467373905;5,965836428;0,69499999;52,6;34;19,1026;0,354;2;3,76
Nigeria;2;33;-2,058687075;6,36072046; ;49,8;27;59,568081;0,532;6,2;4,44
North Korea;0;0;-2,437614552; ; ; ;14;99,999237; ; ;1,08
North Macedonia;2;25;0,848406672;7,122560119;0,16;20;37;97,843758;0,757;9,6;5,87
Norway;3;116;4,003323819;7,57088482;0,052999999;23;84; ;0,953;12,6;9,87
Oman;0;0;0,806570325;6,749671402;0,28099999;47;52;93,971649;0,821;9,5;3,04
Pakistan;1;8;-1,581048329;5,993016925;0,546;41;33;56,440311;0,562;5,2;4,17
Palau; ;21;4,288570679; ; ; ; ;99,523972;0,798;12,3;
Palestine; ; ; ; ; ;56; ;96,668037;0,686;9,1;4,39
Palestine/Gaza;0; ; ; ; ; ; ; ; ; ;
Palestine/West Bank;1; ; ; ; ; ; ; ; ; ;
Panama;2;25;2,205342238;7,566113507;0,45699999;22;37;95,038231;0,789;10,2;7,05
Papua New Guinea;1;41;0,31711269;6,268588715;0,59500003;56,9;28;63,433491;0,544;4,6;6,03
Paraguay;2;13;0,696920668;6,93248077;0,46399999;39,8;29;95,53611;0,702;8,4;6,24
Peru;2;15;0,740837126;7,439497099;0,38499999;47;35;94,374352;0,75;9,2;6,6
Philippines;1;30;-2,131015039;7,347101298;0,43599999;48;36;96,618027;0,699;9,3;6,71
Poland;2;27;1,815505193;7,26956524;0,13699999;24;60;99,787422;0,865;12,3;6,67
Portugal;2;40;1,939209809;7,496775811;0,090999998;37;64;95,428108;0,847;9,2;7,84
Puerto Rico; ; ; ; ; ; ; ;93,329422; ; ;
Qatar;0;0;1,671422665;7,467956558;0,542;42;62;97,757088;0,856;9,8;3,19
Romania;2;25;0,936675539;7,698155057;0,33899999;41;47;98,757027;0,811;11;6,38
Russia;1;0;-1,232211867;6,823958472;0,271;33;28;99,719566;0,816;12;2,94
Rwanda;1;0;-0,670644255;7,483949815;0,38299999;57,8;56;71,2435;0,524;4,1;3,35
Saint Kitts and Nevis; ;32;3,05041938; ; ; ; ; ;0,778;8,4;
Saint Lucia; ;37;1,224225148; ;0,354;25;55; ;0,747;8,9;
Saint Vincent and the Grenadines; ;37;1,94245495; ; ; ;58; ;0,723;8,6;
Samoa; ;0;2,560865976; ;0,43900001;74; ;99,015007;0,713;10,3;
San Marino; ;71;4,269659599; ; ; ; ; ; ; ;
Sao Tome and Principe;2;25;3,331958707; ;0,52399999; ;46;91,747108;0,589;6,3;
Saudi Arabia;0;0;-0,995758828;6,516357351;0,257;36,2;49;94,842369;0,853;9,5;1,93
Senegal;2;16;0,796011622;6,199727938;0,52100003;38,4;45;55,624851;0,505;3;6,15
Serbia;1;10; ;6,855902529;0,185;34,7;39;98,002892;0,787;11,1;6,41
Seychelles;2;0;1,479227588;7,234818257; ;51;66;95,321083;0,797;9,5;
Sierra Leone;2;14;0,540344793;5,744552987;0,64999998;45,3;30;48,4319;0,419;3,5;4,66
Singapore;1;0;1,700365887;8,820735091;0,068000004; ;85;96,774628;0,932;11,5;6,38
Slovakia;2;23;1,812497515;7,308716412;0,18000001;25;50; ;0,855;12,5;7,1
Slovenia;2;25;3,157118616;7,044029738;0,052999999;20;60;99,71476;0,896;12,2;7,5
Solomon Islands;2;10;3,757369267; ; ;67;44; ;0,546;5,5;
Somalia;0;0;-1,739184553; ; ; ;10; ; ; ;
Somaliland;1; ; ; ; ; ; ; ; ; ;
South Africa;2;22;-1,061342789;6,658054541;0,39399999;37,4;43;94,597939;0,699;10,1;7,24
South Korea;3;28;1,228568362;7,501501501;0,067000002; ;57; ;0,903;12,1;
South Sudan;0;0;-2,592480777; ; ; ;13;31,97625;0,388;4,8;2,15
Spain;3;39;1,191515174;7,551851757;0,081;14;58;98,11451;0,891;9,8;8,08
Sri Lanka;2;0;-0,526460575;6,489522916;0,38600001;38;38;92,614166;0,77;10,9;6,19
Sudan;0;0;-2,470596454;5,36;0,57499999;40,7;16;58,601318;0,502;3,7;
Suriname;2;25;1,194181517;6,381872508;0,44800001;26;43;95,538986;0,72;8,5;6,98
Sweden;3;105;2,83679292;7,431505399;0,048;11;85; ;0,933;12,4;9,39
Switzerland;3;168;2,10741004;8,387414206;0,039999999;34;85; ;0,944;13,4;9,03
Syria;0;0;-2,558582937;5,034062658;0,55400002;40,9;13;86,303932;0,536;5,1;1,43
Taiwan;3;20;2,702207569;7,883663307; ; ;63; ; ; ;7,73
Tajikistan;1;0;-0,688976106;6,716732564;0,322;7;25;99,781052;0,65;10,4;1,93
Tanzania;1;0;-0,255901211;6,930080248;0,54400003;28;36;80,359497;0,538;5,8;5,41
Thailand;0;0;-1,209087232;6,821824859;0,366;27;36;93,983017;0,755;7,6;4,63
Timor;2;14;1,086268597;6,561040228; ;54;35;64,066139;0,625;4,5;7,19
Togo;1;0;0,409906965;5,784202354;0,55599999;47,5;30;66,53759;0,503;4,8;3,1
Tonga; ;0;2,763731841; ;0,65899998;50; ;99,397858;0,726;11,2;
Trinidad and Tobago;2;54;0,90690385;6,741669083;0,324;15;41;98,969582;0,784;10,9;7,16
Tunisia;2;60;0,101200869;6,276433717;0,289;31;43;81,054192;0,735;7,2;6,41
Turkey;1;33;-1,62047259;6,821242893;0,32800001;33,1;41;95,688103;0,791;8;4,37
Turkmenistan;1;0;-0,567468907; ; ;46,6;20;99,692932;0,706;9,8;1,72
Tuvalu; ;38;4,07269972; ; ; ; ; ; ; ;
Uganda;1;0;-0,351118825;7,43850886;0,52200001;46;26;73,809837;0,516;6,1;5,2
Ukraine;2;25;-1,219281904;5,969297672;0,28400001;41;32;99,764107;0,751;11,3;5,69
United Arab Emirates;0;0;0,206362335;7,485404568;0,23199999;23;70;92,986366;0,863;10,8;2,76
United Kingdom;3;131;2,221622899;8,007157126;0,131;25;80; ;0,922;12,9;8,53
United States;3;216;0,235332781;8,040992466;0,20299999;26;71; ;0,924;13,4;7,96
Uruguay;3;31;2,782269859;7,150333043;0,28400001;19;70;98,442101;0,804;8,7;8,38
Uzbekistan;1;0;-0,588449175; ;0,287;44,1;23;99,995193;0,71;11,5;2,01
Vanuatu;2;36;2,312695773; ; ;67;46;85,058678;0,603;6,8;
Venezuela;1;0;-1,434521081;2,88085998;0,461;35;18;95,399246;0,761;10,3;3,16
Vietnam;0;0;-0,373983921;6,416821979;0,33700001;26;33;94,514267;0,694;8,2;3,08
Yemen;0;0;-2,108345997;6,37069288;0,76700002;41;14;69,961952;0,452;3;1,95
Yugoslavia; ; ;1,492912995; ; ; ; ; ; ; ;
Zambia;1;8;-0,043186178;6,603235047;0,52600002;65;35;85,117264;0,588;7;
Zanzibar;1; ; ; ; ; ; ; ; ; ;
Zimbabwe;1;0;-0,74135666;6,07711626;0,54000002;61;22;86,873482;0,535;8,2;3,16
