Entity;Gscore;Droit_de_lHomme;Liberte_economique;Inegalite_des_genres;Proportion_denfants_harceles;Corruption;Taux_alphabetisation;HDI;Annees_detudes;Espérance_vie;Budget_militaire_from_GPD;Sous_alimentation;Acces_Internet_pers;Acces_electricite_pers;Pop_urban;Pop_rural
Guyana;6,67;0,90521378;6,319215573;0,50800002;38;37;87,535316;0,654;8,4;69,906;1,650968715;5,7;37,32583679;92,02169037;210688;575871
Haiti;4,91;0,590256953;6,540483644;0,59299999; ;20;60,68935;0,498;5,3;64,001;0,001287275;48,2;12,32610358;45,37134552;6509478;4893055
Honduras;5,63;-0,621338298;7,053142395;0,461;32;29;88,424583;0,617;6,5;75,27;1,629646715;13,8;32,13636364;92,77952576;5780230;4124378
Hong Kong;6,19; ;8,971599172; ; ;76; ;0,933;12;84,857; ;2,5;89,41594465;100;7481800;0
Hungary;6,63;1,089712178;7,226473871;0,252;24;46;99,380882;0,838;11,9;76,875;1,220831242;2,5;76,75054712;100;7014174;2735589
India;7,23;-1,394107965;6,627177736;0,52999997;40,3;41;72,225304;0,64;6,4;69,656;2,395246379;14;32;97,81528473;481980332;898024053
Indonesia;6,39;-0,433937111;7,142168145;0,46700001;50;38;95,437683;0,694;8;71,716;0,674409306;9;32,33580625;98,85;154926514;118597107
Iran;2,45;-1,377935842;6,020622191;0,509;27,5;28;87,172531;0,798;9,8;76,677;2,312118697;4,7;64,04397362;100;63728813;20264140
Iraq;4,06;-2,388372091;5,407654263;0,52499998;28;18;79,721764;0,685;6,8;70,604;3,468703277;23,7;49,35999889;100;28514939;11707564
Israel;7,79;-1,064022925;7,469375569;0,103;37,7;61; ;0,903;13;82,972;5,257651249;2,5;81,58118359;100;8533651;683249
Jamaica;7,02;-0,026261613;7,198321709;0,42199999;40;44;88,499901;0,732;9,8;74,475;1,604714965;8,7;55,07206705;99,3837738;1667459;1293702
Japan;7,99;2,370679835;7,470801386;0,116;36,8;73; ;0,909;12,8;84,629;0,930602183;2,5;91,72654724;100;115494817;10341204
Jordan;3,93;0,145846286;7,469710428;0,47799999;41;49;98,014351;0,735;10,4;74,526;4,680536959;8,5;66,79031443;100;9327507;875633
Kazakhstan;2,94;-0,158347042;7,118116418;0,20200001;41;31;99,787849;0,8;11,8;73,597;1,056352367;2,5;76,42674823;100;10815873;7938567
Kenya;5,11;-1,201222357;7,214441717;0,565;57;27;78,023399;0,59;6,5;66,699;1,15594133;23;17,82710021;69,7;15053275;38718025
Laos;2,37;0,91023329;6,897792969;0,46799999;27,5;29;79,867462;0,601;5,2;67,923; ; ;25,51043508;100;2640299;4635257
Lesotho;6,64;0,2225541;6,381731401;0,54900002;51,1;41;79,360931;0,52;6,3;54,331;1,546863635;32,6;29,78780333;44,64067841;621853;1520399
Liberia;5,35;0,978316668;6,558400412;0,64899999;50,2;32;47,60014;0,435;4,7;64,104;0,51652075;37,5;7,984479722;27,64920998;2634493;2423184
Libya;2,19;-1,975751432;4,773094763;0,167;35;17;91,38887;0,706;7,3;72,913; ; ;21,75892062;68,53218842;5544510;1326777
Luxembourg;8,81;5,129846482;7,586641726;0,075000003;28;81; ;0,904;12,1;82,25;0,622177914;2,5;97,36296032;100;578234;54041
Madagascar;5,22;-0,23040146;6,174695918; ;38,2;25;64,656303;0,519;6,1;67,041;0,613169182;41,7; ;26,9071846;10670457;17020562
Malawi;5,49;0,435626128;5,86902225;0,61400002;45;32;65,963829;0,477;4,5;64,263;0,885396813;18,8;13,78216439;11,2;3333777;15796178
Malaysia;6,88;-0,212651876;6,913130396;0,29100001;21;47;94,636993;0,802;10,2;76,156;1,033978773;3;80,14047901;100;24973604;7392394
Mali;5,41;-1,197660938;5,794917503;0,68900001;46;32;33,068871;0,427;2,3;59,306;2,709170359;5,1;12,72064096;48,02124786;8891939;11358895
Malta;8,21;2,803173634;7,740315514;0,21699999;27,2;54;94,066612;0,878;11,3;82,53;0,564620805;2,5;81,01191108;100;497676;27609
Mauritania;3,82;-0,06432388;5,962612389;0,62699997;47;27;52,123562;0,52;4,5;64,925;2,818955471;11,9;20,80096366;45,81206894;2572517;2077143
Mexico;6,19;-1,423018386;6,895887517;0,345;29,1;28;94,545593;0,774;8,6;75,054;0,516843479;7,1;63,85224909;100;104088701;24844052
Mongolia;6,5;0,4774756;7,395856246;0,278;31;37;98,367638;0,741;10,1;69,87;0,703201814;21,3;23,71426517;99,12526703;2250777;1027515
Montenegro;5,74;1,557095013;7,050268253;0,156;25,9;45;98,719948;0,814;11,3;76,884;1,643544351;2,5;71,27233254;100;419585;202133
Morocco;4,99;0,335490756;6,339798901;0,49399999;1;43;71,710548;0,667;5,5;76,68;3,094492413;4,3;61,76221201;99,6;23450016;13460542
Mozambique;3,85;-0,087209576;5,479430172;0,574;47,5;23;58,836552;0,437;3,5;60,854;0,895181627;32,6;20,7740003;29,61616135;11587640;19667795
Namibia;6,25;1,54286351;6,413544685;0,47400001;52;53;90,820503;0,647;6,8;63,708;3,028329466;14,7;36,83740647;55,19511795;1322115;1218801
Nepal;5,18;0,261589965;6,527727586;0,49700001;42,7;31;64,663643;0,574;4,9;70,778;1,56308145;6,1;21,40351043;89,9;5995190;23141618
Netherlands;8,89;3,410230213;7,697608946;0,044;21;82; ;0,931;12,2;82,283;1,340651681;2,5;93,19727891;100;16087009;1354130
New Zealand;9,26;3,445404703;8,490329773;0,15800001;23,3;87; ;0,917;12,5;82,288;1,498862401;2,5;90,81109307;100;4408037;676263
Nicaragua;3,63;0,113044035;7,277070764;0,46200001;25,7;25;82,471848;0,658;6,7;74,485;0,654937275;17,2;27,86304001;88,21266937;3909282;2715272
Niger;3,76;-0,467373905;5,965836428;0,69499999;52,6;34;19,1026;0,354;2;62,42;1,839984015; ;10,22431156;18,77472496;4024595;20182041
Nigeria;4,44;-2,058687075;6,36072046; ;49,8;27;59,568081;0,532;6,2;54,687;0,460792415;12,6;7,469439317;55,4;107106007;99033580
North Korea;1,08;-2,437614552; ; ; ;14;99,999237; ; ;72,274; ;47,6; ;49,37275696;16081083;9697732
North Macedonia;5,87;0,848406672;7,122560119;0,16;20;37;97,843758;0,757;9,6;75,797;1,244459333;3,1;74,51682418;100;1218402;864978
