Countries;GPD;Gender_Gap;Ethnic;Linguistic;Religious;Science_and_Technology;Culture;International_Peace_and_Security;World_Order;Planet_and_Climate;Prosperity_and_Equality;Health_and_Well_being;Emigrants;Suicide_Both_sexes;Suicide_Men;Suicide_Women;National_power;Population;Poverty_pct;HDI;Corruption;Terrorism;Gscore
   Nepal;1,116;0,68;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2285,364;N/A;N/A;N/A;0,001437;28608710;25,2;0,602;33;N/A;5,18
 Eritrea;585;N/A;0,6524;0,653;0,4253;N/A;N/A;N/A;N/A;N/A;N/A;N/A;751,481;13,8;22,4;6,1;0,002157;3497117;69;0,459;21;0;2,37
 Guinea-Bissau;767;N/A;0,8082;0,8141;0,6128;57;151;163;73;152;91;121;103,587;7,4;8,9;6,1;0,000132;1920922;69,3;0,48;19;0;1,98
 Mauritania;1,791;0,614;0,615;0,326;0,0149;141;56;95;143;163;158;161;128,506;7,5;12,1;3,6;0,00029;4525696;31;0,546;29;0;3,82
 Fiji;4,371;0,678;0,5479;0,5479;0,5682;50;81;76;161;109;44;36;222,633;5,5;8,8;2,5;0,000081;889953;34;0,743;N/A;N/A;
 Togo;690;N/A;0,7099;0,898;0,6596;111;117;38;133;161;16;148;543,277;16,6;22,7;10,9;0,000297;8082366;55,1;0,515;29;0;3,1
 Tonga;5,023;N/A;0,0869;0,3782;0,6214;85;70;161;162;84;79;149;74,433;4;5,2;2,9;0,000003;11094;22,5;0,725;N/A;N/A;
 Guatemala;4,24;0,666;0,5122;0,4586;0,3753;119;83;23;71;113;78;77;1205,644;2,9;4,4;1,7;0,000789;17581472;59,3;0,663;25;0,663;5,6
 Uzbekistan;1,763;N/A;0,4125;0,412;0,2133;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1979,523;7,4;10,3;4,6;0,002256;32981716;14,1;0,72;26;0,01;2,01
 Haiti;732;N/A;0,095;0;0,4704;132;92;144;140;119;53;115;1585,681;12,2;18,3;6,4;0,000542;11263770;58,5;0,51;18;2,355;4,91
 Honduras;2,412;0,722;0,1867;0,0553;0,2357;136;120;88;122;158;64;62;800,707;3,4;5,3;1,7;0,000454;9746117;61,9;0,634;24;2,023;5,63
 Samoa;4,084;N/A;N/A;N/A;N/A;64;60;1;130;45;145;146;124,403;5,4;8,7;2,2;0,000005;N/A;20,3;0,715;N/A;N/A;
 Turkmenistan;7,507;N/A;0,3918;0,3984;0,2327;N/A;N/A;N/A;N/A;N/A;N/A;N/A;260,832;7,2;11;3,7;0,000711;5942089;N/A;0,715;19;0;1,72
 Marshall_Islands;4,071;N/A;0,0603;0,0734;0,5207;43;40;162;149;129;41;144;8,205;N/A;N/A;N/A;0,000001;58791;N/A;0,704;N/A;N/A;
 Tajikistan;834;0,626;0,5107;0,5473;0,3386;N/A;N/A;N/A;N/A;N/A;N/A;N/A;597,959;3,3;5;1,7;0,000352;9321018;31,3;0,668;25;4,18;1,93
 Zimbabwe;922;0,73;0,3874;0,4472;0,7363;98;112;70;151;145;26;107;933,654;19,1;29,1;11,1;0,001032;14645468;72,3;0,571;24;2,443;3,16
 Nicaragua;1,832;0,804;0,4844;0,0473;0,429;110;100;96;87;140;20;30;682,865;11,9;19,2;5;0,000388;6545502;24,9;0,66;22;2,355;3,63
